,support,itemsets
456,0.01,"frozenset({'Aryan Vaid', 'Manisha Koirala'})"
457,0.01,"frozenset({'Shweta Menon', 'Aryan Vaid'})"
458,0.01,"frozenset({'Suman Ranganathan', 'Aryan Vaid'})"
459,0.01,"frozenset({'Avtar Gill', 'Ashmit Patel'})"
460,0.01,"frozenset({'Dimple Kapadia', 'Ashmit Patel'})"
461,0.01,"frozenset({'Nauheed Cyrusi', 'Ashmit Patel'})"
462,0.01,"frozenset({'Raj Babbar', 'Ashmit Patel'})"
463,0.01,"frozenset({'Ashmit Patel', 'Urmila Matondkar'})"
464,0.01,"frozenset({'Vidya Malvade', 'Ashmit Patel'})"
465,0.01,"frozenset({'Ashutosh Rana', 'Ganesh Yadav'})"
466,0.01,"frozenset({'Nethra Raghuraman', 'Ashutosh Rana'})"
467,0.01,"frozenset({'Om Puri', 'Ashutosh Rana'})"
468,0.01,"frozenset({'Sharad S. Kapoor', 'Ashutosh Rana'})"
469,0.01,"frozenset({'Sharbani Mukherji', 'Ashutosh Rana'})"
470,0.01,"frozenset({'Asrani', 'Gulshan Grover'})"
471,0.01,"frozenset({'Asrani', 'Krishna Bhatt'})"
472,0.01,"frozenset({'Asrani', 'Raja Bherwani'})"
473,0.01,"frozenset({'Atul Kinagi', 'Keshav Nadkarni'})"
474,0.01,"frozenset({'Atul Kinagi', 'Natasha Jain'})"
475,0.01,"frozenset({'Atul Kinagi', 'Shahana Goswami'})"
