Year,Title,Director,Cast,Genre
1924,Kalyan Khajina a.k.a. The Treasures of Khajina,Baburao Painter,"Sultana, Master Vithal, Kamaladevi, Nalini, Zunzharrao Pawar, Baburao Painter, Chimasaheb Bhosle, K. P. Bhave",Crime Thriller
1924,Karan Ghelo a.k.a. Karan Waghela,S. N. Patankar,,Historical
1924,Kismet Ka Shikar a.k.a. Victims Of Fate,,,Social
1924,Krishna Kumari a.k.a. Daughter Of Shripur,Gajanan S. Devare,,Costume
1924,Manorama a.k.a. Hridaya Triputi,Homi Master,"Zubeida, Khalil, Sultana",Social
1924,Mishar Rani a.k.a. Queen Of Mishar,Jyotish Bannerjee,"Durgadas Bannerjee, Ahindra Choudhury, Krishnabhamini, Niharbala, Naserwanji",Costume
1924,Municipal Election a.k.a. Municipal Nivadnuk,Dadasaheb Phalke,"Bachu Pawar, Baburao Datar, Sakharam Jadhav, Shinde",Social
1924,Nanda Batrisi a.k.a. Nand Batrishi,,"Dolores Berry, Asooji",religious
1924,Nandanar a.k.a. Bhakta Nandan,Raghupathy S. Prakasa,,religious
1924,Narsinh Mehta,Gajanan S. Devare,,Biopic religious
1924,Navin Bharat a.k.a. New India a.k.a. Naveen Bharat,Kashinath Chatterjee,,Social
1924,Navi Sethani a.k.a. Kanya Vikrya Ni Kahani,Homi Master,,Social
1924,Paper Parinam a.k.a. Crime And Punishment,,"Probodh Chandra Bose, Nirmalendu Lahiri, Prabhadevi, Prabhavati",Social
1924,Patni Pratap a.k.a. Wife's Achievement,J. J. Madan,Patience Cooper,Social
1924,Poona Raided a.k.a. Poona Par Hallo,B. V. (Mama) Warerkar,"Dulari, Sundar Rao Nadkarni, Vishnupant Pagnis, Miss Bhawani. Krishnarao Ketkar, Vishnupant Pagnis, Miss Kaiser, Baburao Sansare, Datta Varane, Shankarrao Shinde, Pandharinath Kale",Historical
1924,Prithvi Vallabh a.k.a. The Lord Of Love And Power,Manilal Joshi,"P.Y. Altekar, Wagle Sandow, Fatma Begum, Zubeida, Sultana, Miss Jaina, Bhalji Pendharkar",Historical
1924,Prithviraj Chouhan a.k.a. Prithviraj Chauhan,,,Historical
1924,Ra Mandlik,Homi Master,"Raja Sandow, Miss Yakbal, Ganibabu, Rajababu",Historical
1924,Raja Harishchandra,"D.D. Dabke, Narayan Deware",,Mythology
1924,Ranakdevi,S. N. Patankar,"Tarabai Koregaonkar, C. C. Shah",Historical
1924,Razia Begum,"Nanubhai Desai, Bhagwati Mishra","Raja Sandow, Jilloobai",Historical
1924,Repentance a.k.a. Paap No Pashchatap,Naval Gandhi,"Dolores Berry, Tara",Social
1924,Sadevant Savlinga,,,Costume
1924,Sadguni Sushila a.k.a. Sushila The Virtuous a.k.a. Triumph Of Truth,Kanjibhai Rathod,Raja Sandow,Thriller Drama
1924,Samudra Manthan a.k.a. The Churning Of The Ocean a.k.a. Ahankar Vijaya,V.K. Pattani,"Batukbhai Vaidya, Nanubai",Mythology
1924,Sanyasi,Naval Gandhi,,Social
1924,Sati Padmini a.k.a. Beauty of Rajasthan a.k.a. Siege of Chittor,Baburao Painter,"Ganpat Bakre, Balasaheb Yadav, Nalini, Zunzharrao Pawar, Dwarka, Bedi",Historical Drama
1924,Sati Sardarba,Nanubhai Desai,"Fatma Begum, Sultana, Mohanlala, Putli, Zubeida",religious
1924,Sati Seeta,Kanjibhai Rathod,,Religious
1924,Sati Sone a.k.a. Halaman Jethvo,Homi Master,"Raja Sandow, Janibabu, Rajababu, Miss Moti, Jamuna Sr.",religious
1924,Shah Jehan a.k.a. Shahjehan,"Ardeshir M. Irani, Naval Gandhi","Bhagwati Mishra, Elizer, Jilloobai",Historical
1924,Shaitan Pujari,,,Social
1924,Sharda,Dadasaheb Phalke,,Social
1924,Shivaji's Escape From Agra a.k.a. Shivajichi Agryahun Sutaka,Dadasaheb Phalke,"Bhaurao Datar, Jardos, Laxman Malusare",Historical
1924,Sita Shuddhi a.k.a. Ram Ravan Yuddha a.k.a. The Purification Of Sita,"G. V. Sane, Dadasaheb Phalke","Vasant Shinde, Chavan",Religious
1924,Shri Dnyaneshwar,S. N. Patankar,,religious
1924,Sita Vanvas a.k.a. Uttar Ramcharitra,V. S. Nirantar,,Religious
1924,Sharif Badmash a.k.a. Society Scoundrel,Kanjibhai Rathod,"Ermeline, Madanrai Vakil, Shiraz Ali Hakim, Dorothy",Social
1924,Sund And Upsund,G. V. Sane,,Mythology
1924,The Debt Of Sin a.k.a. Paap No Fej,"Ardeshir Irani, Naval Gandhi","Elizer, Bhagwati Mishra, Tara, Asooji",Crime Thriller
1924,Turki Hoor,J. J. Madan,"Patience Cooper, Master Mohan, Master Narmada Shankar, Surajram, Sharifa, Manilal",Costume
